#,Actor,Categoria,Justificacion_Inclusion,Mendelow,Interes,Justificacion_Interes,Poder,Justificacion_Poder,Legitimidad,Justificacion_Legitimidad,Urgencia,Justificacion_Urgencia,Capacidad_Articulacion,Justificacion_Articulacion,Genero,Justificacion_Genero,Observaciones
1.0,Secretaría de Energía (SENER),Entidad gubernamental de política y planificación,Secretaría de Estado responsable de diseñar y conducir la política energética nacional de México.,Manejar de cerca,9.0,"Además de la Hoja de Ruta y la Estrategia de Transición, SENER lidera la Estrategia Nacional de Movilidad Eléctrica (ENME), que fija metas cuantificadas muy específicas: reducir 30 MtCO2e acumuladas al 2030 mediante la incorporación de 7 millones de vehículos ligeros y 338.000 vehículos pesados (autobuses y carga), y llegar a reducir 272 MtCO2e acumuladas al 2050 con 31 millones de vehículos ligeros y 987.000 pesados adicionales. También estima que México pasará de ~210.000 VE actuales a 60 millones para 2040, lo que implicaría una demanda eléctrica adicional de 13.000 MW (equivalente al consumo de 8-12 millones de hogares).",10.0,"Como Secretaría de Estado tiene facultad normativa federal: define la política energética nacional y coordina a CONUEE, CFE y CENACE en la materia.
El transporte ya representa el 46% del consumo energético final del país.",10.0,Mandato legal explícito bajo la Ley de Transición Energética para definir la política energética nacional; ningún otro actor del ecosistema disputa esa autoridad.,8.0,"Actualiza por mandato legal la Estrategia de Transición cada 3 años, con metas ya vigentes a 2030 (30 MtCO2e), 2040 (60 millones de VE) y 2050 (272 MtCO2e acumuladas).",9.0,"Coordina directamente a CONUEE, CFE y CENACE; es miembro fundador de la Alianza por la Electromovilidad en México.",6.0,"Opera una Unidad de Género y No Discriminación desde 2014 con presupuesto propio (Programa PROIGUALDAD), con actividad pública documentada tan reciente como marzo 2026.","https://mobilityportal.lat/mexico-estrategia-transicion-movilidad/   

https://www.gob.mx/cms/uploads/attachment/file/857010/cuaderno_ELECTROMOVLIDAD_EN_M_XICO.pdf 
https://sanchezdevanny.com/es/tendencias/reportes-y-articulos-legales/estrategia-nacional-de-movilidad-electrica 
https://www.eluniversal.com.mx/tendencias/autos-electricos-en-mexico-60-millones-para-2040-presionaran-al-sistema-electrico/ 
https://mobilityportal.lat/mexico-estrategia-transicion-movilidad/ "
2.0,Comisión Federal de Electricidad (CFE),Empresa de energía e infraestructura de carga,"Empresa productiva del Estado, operador único de la generación, transmisión y distribución de energía eléctrica en México.",Manejar de cerca,8.0,"A través de su Proyecto para la Promoción de la Movilidad Eléctrica (PEII) planea instalar 100 electrolineras públicas y gratuitas en CDMX, Monterrey y Guadalajara, y 9 corredores eléctricos en 10 estados del país.
Actualmente México cuenta con 56.726 puntos de carga totales al cierre de 2025 (52.666 privados + 4.060 públicos, +22% interanual en la red pública). CFE es la entidad que debe garantizar el suministro eléctrico detrás de toda esa infraestructura, además de sus 100 electrolineras propias.",9.0,Es el único operador de la red eléctrica nacional: sin su infraestructura de suministro no puede conectarse ningún cargador; además ofrece condiciones tarifarias diferenciadas para VE.,9.0,Empresa productiva del Estadocon mandato constitucional exclusivo sobre el servicio eléctrico nacional,8.0,El crecimiento de 22% interanual de la red pública de carga presiona directamente su capacidad de suministro en tiempo real.,8.0,"Coordina con CENACE, WRI México y gobiernos estatales; participante directo del proceso regulatorio de la CRE.",8.0,"Unidad de Género e Inclusión formal, convenio firmado con la Secretaría de Mujeres contra el hostigamiento laboral", https://tarifasdeluz.mx/cfe-tramites/contrato-electrolineras
3.0,Comisión Reguladora de Energía (CRE),Entidad gubernamental reguladora,Órgano regulador autónomo del sector energético mexicano.,Manejar de cerca,9.0,"Fue la entidad que impulsó, coordinó y publicó activamente la primera regulación de electromovilidad del país, incluyendo la creación de una Plataforma de Electromovilidad pública. Esta fue desarrollada en consulta con 10+ instituciones (SHCP, CENACE, CFE, CONAMER, COFECE, AMIVE, Megaflux, CONAHCYT, Instituto de Ingeniería UNAM), demostrando la magnitud del proceso institucional que lideró.",10.0,"Emitió el Acuerdo A/108/2024 (DOF 10/09/2024), la primera regulación vinculante de electromovilidad en México, con facultad legal para sancionar su incumplimiento.",9.0,Órgano regulador autónomo con facultad legal para emitir normas vinculantes y sancionar su incumplimiento (Acuerdo A/108/2024,8.0,Emitió la primera regulación de electromovilidad del país en respuesta a un vacío normativo ya presionado por el crecimiento del sector (56.726 puntos de carga a 2025).,9.0,"Coordinó a más de 10 instituciones distintas (SHCP, CENACE, CFE, CONAMER, COFECE, AMIVE, Megaflux, CONAHCYT, Instituto de Ingeniería UNAM) en el proceso de consulta de su regulación.",4.0,"Su mandato se concentra en la regulación y supervisión de los mercados energéticos. Aunque cumple lineamientos institucionales de igualdad y no discriminación aplicables al sector público, no cuenta con una agenda destacada de género vinculada a sus funciones regulatorias.",https://www.gob.mx/cre/prensa/presenta-cre-la-primera-regulacion-de-electromovilidad-en-mexico?idiom=es
4.0,Centro Nacional de Control de Energía (CENACE),Empresa de energía e infraestructura de carga,Organismo público descentralizado que opera el Sistema Eléctrico Nacional de forma independiente.,Manejar de cerca,6.0,"Su Programa de Ampliación y Modernización de la Red (2023) estima 17.780 estaciones de carga para 2037, representando el 3,1% del consumo bruto del Sistema Eléctrico Nacional insumo directo para la planeación de infraestructura de carga del país.",8.0,"Es la entidad ante la que deben presentarse obligatoriamente las solicitudes de conexión de infraestructura de carga a tensión igual o mayor a 69 kV, conforme al Acuerdo A/108/2024.",8.0,"Organismo público descentralizado con facultad técnica delegada por ley, subordinado en jerarquía normativa a SENER/CRE pero con autoridad técnica reconocida.",7.0,"Su Programa de Ampliación y Modernización de la Red ya identifica que la electromovilidad representará 3,1% del consumo bruto del SEN para 2037 , un dato que obliga a planeación activa, no solo prospectiva.",7.0,"Es la entidad ante la que deben presentarse obligatoriamente las conexiones ≥69kV, lo que lo coloca como nodo técnico obligatorio entre CFE, privados y el regulador.",4.0,"La entidad está enfocada en la operación y planeación técnica del sistema eléctrico nacional. La igualdad de género no constituye una línea estratégica visible dentro de sus funciones principales, más allá del cumplimiento de políticas institucionales generales.",https://www.tyt.com.mx/nota/cre-emite-las-reglas-para-la-infraestructura-de-carga-de-vehiculos-electricos ; https://vanguardia-industrial.net/electromovilidad-expide-la-cre-disposiciones-para-la-integracion-de-infraestructura-para-una-red-electrica-inteligente/ (ambos verificados 14/07/2026)
5.0,Gobierno de la Ciudad de México / SEDEMA,Entidad gubernamental de política y planificación,"Secretaría de Medio Ambiente del Gobierno de la Ciudad de México, autoridad ambiental y de movilidad local.",Manejar de cerca,8.0,"Publicó la Estrategia de Electromovilidad de la CDMX 2018-2030 con subsidios e infraestructura de carga pública, y en 2025 se sumó a la Iniciativa Laneshift junto con Nafin/Bancomext y C40.
Según datos de SEMARNAT presentados en el foro EV DAY 2025, en 2024 México emitió 788 millones de toneladas de CO2, de las cuales 25% provino del transporte, y de esa cifra, 50% son generadas por vehículos particulares — la mayor concentración de este parque vehicular está precisamente en la CDMX y su zona metropolitana (30.282 unidades electrificadas vendidas de enero-noviembre 2024, la entidad líder del país).",7.0,Es miembro fundador de la Alianza por la Electromovilidad en México y tiene facultad para legislar y otorgar incentivos locales (ej. subsidios de hasta $50.000 para adquisición de VE).,7.0,"Mandato de gobierno subnacional con facultad legal para legislar y otorgar incentivos locales, aunque de alcance solo local (no nacional).",8.0," La CDMX concentra la mayor venta de vehículos electrificados del país y el 25% de las emisiones de CO2 nacionales viene del transporte, con la mitad generada por autos particulares concentrados en la capital.",8.0,Miembro fundador de la Alianza por la Electromovilidad en México; se sumó en 2025 a la Iniciativa Laneshift junto con Nafin/Bancomext y C40 Cities.,9.0,"La Ciudad de México ha incorporado de manera consistente la perspectiva de género en sus políticas públicas, incluyendo movilidad, sostenibilidad, espacio público y acción climática. A través de diversas estrategias e instrumentos institucionales, cuenta con capacidad para promover e implementar medidas que contribuyan al cierre de brechas de género en el sector transporte y la transición energética.","https://cff-prod.s3.amazonaws.com/storage/files/mI2mWzTOCnwfzjm5PP4NuPrEtE2HlTM1SQgYmjDu.pdf
https://efinf.com/clipviewer/b0c68aef6460d382121e30b76ed60010
https://www.gob.mx/cms/uploads/attachment/file/857010/cuaderno_ELECTROMOVLIDAD_EN_M_XICO.pd
 https://www.elfinanciero.com.mx/transporte-y-movilidad/2025/10/01/electromovilidad-en-mexico-avances-retos-y-financiamiento/"
6.0,Evergo,Empresa de energía e infraestructura de carga,Empresa operadora de infraestructura de carga (CPO) originaria de República Dominicana.,Manejar de cerca,9.0,"Evergo llegó a México en 2023 mediante la adquisición mayoritaria de E-Drive, empresa que ya tenía más del 85% de cuota de mercado en soluciones de recarga tras 7 años de operación — es decir, Evergo no construyó su liderazgo desde cero, sino que compró al líder preexistente. Hoy supera 5.000 puertos de carga activos (60% semirrápidos, 40% rápidos), tiene alianzas con BMW, Volkswagen, Volvo, JAC y Chirey, más de 12.000 usuarios activos en su app, y opera en 8 países de LatAm/Caribe con más de 1.200 estaciones públicas regionales.",6.0,"El mercado mexicano de infraestructura de carga fue valuado en US$331.3 millones en 2025, con proyección a US$3.563,3 millones para 2034 (crecimiento anual compuesto de 29,3%), según IMARC Group — Evergo es el actor mejor posicionado para capturar ese crecimiento dado su músculo financiero (US$200M) y alianzas ya firmadas con automotrices.",2.0,Empresa privada extranjera (capital dominicano) sin ningún mandato ni reconocimiento institucional para definir política pública; su legitimidad es puramente comercial.,7.0,"Su ritmo de expansión (5.000+ puertos activos, alianzas con 5 automotrices) ya está definiendo de facto el estándar de interoperabilidad del mercado, presionando al resto del ecosistema a reaccionar.",8.0,"Alianzas activas con BMW, Volkswagen, Volvo, JAC y Chirey, más presencia en 8 países de la región — es el operador con mayor red de coaliciones comerciales del sector.",5.0,"La empresa ha incorporado compromisos corporativos de diversidad e inclusión dentro de sus operaciones en América Latina y promueve entornos laborales más equitativos, aunque la agenda de género no constituye uno de los ejes principales de su actividad empresarial.","https://expansion.mx/empresas/2026/06/03/mexicanos-ya-no-prefieren-tesla-cargan-auto-electrico-red 
https://www.metalmecanica.com/es/noticias/evergo-llega-mexico-con-inversion-en-electromovilidad 
https://venamericagroup.com/movilidad/evergo-cumple-su-primer-aniversario-posicionando-a-mexico-como-referente-de-movilidad-electrica-en-la-region/"
7.0,VEMO,Empresa de energía e infraestructura de carga,Empresa mexicana (fundada en 2021) operadora de infraestructura de carga y flotillas eléctricas.,Mantener informado,8.0,"Ocupa el segundo lugar en uso de cargadores (22% de participación) y opera la estación de carga más grande de América Latina en San Pedro de los Pinos, CDMX (104 conectores).",5.0,"Es un actor de mercado relevante por escala de operación, pero sin atribuciones regulatorias ni de política pública sobre el sector.",,,,,,,7.0,"La organización ha incorporado compromisos de diversidad e inclusión dentro de su estrategia corporativa y su transición energética, aunque el enfoque de género no constituye uno de los ejes centrales de su actividad institucional.","https://petroleoenergia.com/industrias/automotriz/tesla-y-el-auge-de-nuevas-marcas-en-la-recarga-electrica-de-mexico 
https://www.gob.mx/cms/uploads/attachment/file/857010/cuaderno_ELECTROMOVLIDAD_EN_M_XICO.pdf
"
8.0,Tesla México,"Fabricante de buses, chasis o carrocerías",Fabricante de vehículos eléctricos que además opera su propia red de carga (Superchargers).,Manejar de cerca,7.0,"Fue pionero histórico de infraestructura de carga propia en México y aún mantiene el tercer lugar en participación de uso de cargadores (21%).
19% del segmento BEV en 2025
Sin embargo, en volumen absoluto vendió menos de 4.000 unidades en 2024, aproximadamente un cuarto del volumen estimado de BYD",6.0,"Su influencia es de mercado (marca reconocida, red propia consolidada), sin capacidad de fijar normas ni participar en decisiones regulatorias del sector.",3.0,"Reconocimiento de marca global, no autoridad para definir qué es apropiado en la política pública del sector.",6.0,"Pierde exclusividad de mercado frente a marcas chinas, pero mantiene el tercer lugar en uso de cargadores (21%).",4.0,"Opera con red propia (Superchargers), con menor tendencia histórica a formar alianzas abiertas comparado con Evergo o VEMO.",3.0,"Su propio Diversity, Equity & Inclusion Report (el único que ha publicado, con datos de EE.UU., no de México) muestra que su liderazgo es 83% masculino y las mujeres ocupan solo 17% de posiciones de Director/VP — es decir, la propia evidencia que Tesla publicó sugiere una contribución débil, no fuerte, en este criterio.",https://www.metalmecanica.com/es/noticias/evergo-llega-mexico-con-inversion-en-electromovilidad
9.0,BYD México,"Fabricante de buses, chasis o carrocerías",Fabricante chino de vehículos eléctricos con creciente presencia en el mercado mexicano.,Manejar de cerca,8.0,"Sus unidades ya representan una porción relevante de la demanda de carga en la red pública (compartiendo cargadores de Tesla, Evergo y VEMO) y crece de forma acelerada en ventas.
5% del mercado total de vehículos ligeros en México (2025, +2 puntos porcentuales vs. 2024)
56% de las ventas de BEV (100% eléctricos) y 74% de las ventas de PHEV (híbridos enchufables), según ICCT
Cifra alternativa de BloombergNEF: hasta 70% del mercado combinado EV+PHEV, casi duplicando su volumen en 2025",6.0,"Su peso proviene del volumen creciente de su parque vehicular, que presiona la demanda de infraestructura, pero no participa como autoridad normativa.
Tiene previsto negociaciones con el gobierno mexicano para evitar aranceles de hasta 50% sobre VE importados desde países sin acuerdo comercial (vigentes desde enero 2026), y su vicepresidente corporativo confirmó que la empresa reconsidera instalar una planta de manufactura en México, esto le da a BYD capacidad real de negociación directa con el Estado mexicano, algo que ningún otro fabricante de EV puede igualar en escala.",3.0,"Su capacidad de negociar aranceles directamente con el gobierno mexicano es poder de negociación, no legitimidad normativa bajo esta definición.",9.0,Domina 56-70% del mercado EV/PHEV y enfrenta un plazo concreto: los aranceles de hasta 50% vigentes desde enero 2026 la obligan a decidir sobre una planta local en el corto plazo.,5.0," Negociación directa con el gobierno federal, pero sin evidencia de participación en coaliciones multisectoriales como la Alianza por la Electromovilidad.",5.0,"La compañía forma parte de un grupo empresarial que ha impulsado iniciativas de diversidad, inclusión y desarrollo del talento femenino, aunque las políticas de género tienen un papel secundario frente a sus objetivos de manufactura e innovación tecnológica.","https://www.tumomento.com/blog/byd-autos-electricos-mexico/
 https://expansion.mx/empresas/2026/06/03/mexicanos-ya-no-prefieren-tesla-cargan-auto-electrico-red
https://theicct.org/publication/evolucion-del-mercado-de-vehiculos-electricos-ligeros-en-mexico-en-2025-mar26/ (verificado) ; https://electrek.co/2026/01/29/byd-claims-70-ev-sales-mexico-as-canada-opens-the-door/ 
https://theicct.org/publication/evolucion-del-mercado-de-vehiculos-electricos-ligeros-en-mexico-en-2025-mar26/ 
https://mexicobusiness.news/automotive/news/byd-dominates-mexicos-ev-market-70-share "
10.0,Grupo DINA,"Fabricante de buses, chasis o carrocerías",Fabricante mexicano de camiones y autobuses. Responsable del diseño estructural y ensamblaje final de Taruk.,Manejar de cerca,9.0,"Es el fabricante y ensamblador final de Taruk (el primer autobús eléctrico 100% mexicano), con ensamblaje en su planta de Ciudad Sahagún, Hidalgo, y una meta declarada de producir hasta 3.000-4.000 unidades al año.",6.0,"Como manufacturera establecida con capacidad industrial instalada tiene alta capacidad de ejecución, aunque depende de licitaciones públicas para escalar.",4.0,"Empresa privad con influencia informal, pero no un mandato otorgado por el Estado.",7.0,Meta declarada de producir 3.000-4.000 unidades/año de Taruk posiciona un plazo de ejecución concreto y públicamente comprometido,6.0,"Trabaja directamente con Megaflux y CONAHCYT en el desarrollo técnico de Taruk, mostrando capacidad de coordinación interinstitucional en un proyecto específico.",4.0,"La organización concentra sus esfuerzos en la fabricación y desarrollo de vehículos para transporte, sin evidencia pública relevante de programas estructurados de igualdad de género o inclusión que la posicionen como referente en la materia.",https://www.dina.com.mx/taruk-el-primer-autobus-electrico-disenado-en-mexico/ (verificado) ; https://www.sinembargo.mx/4558611/el-auto-olinia-no-iniciara-de-cero-conhacyt-ya-trabaja-en-autobus-y-mototaxis/
