#,Actor,Categoria,Justificacion_Inclusion,Mendelow,Interes,Justificacion_Interes,Poder,Justificacion_Poder,Legitimidad,Justificacion_Legitimidad,Urgencia,Justificacion_Urgencia,Capacidad_Articulacion,Justificacion_Articulacion,Genero,Justificacion_Genero,Observaciones
1.0,Metbus,Operador de transporte público,Empresa operadora de servicios de buses de Red Movilidad.,Manejar de cerca,9.0,"Alcanzó 950 buses eléctricos, casi el 94 % de su flota, incluyendo unidades estándar, articuladas y de dos pisos.",7.0,"Su amplia flota y experiencia operativa le permiten influir en tecnologías, mantenimiento, terminales y desempeño de los buses eléctricos.",5.0,"Alcanzó 950 buses eléctricos, casi el 94% de su flota, incluyendo unidades estándar, articuladas y de dos pisos",10.0,"Fue el operador responsable de la llegada de los primeros 100 buses eléctricos de Chile y Santiago, asociándose directamente con BYD para implementar tanto flota como cargadores desde el inicio del ecosistema. Su urgencia no es proyectada, es fundacional.",6.0,"Mantiene interacción constante con autoridades, fabricantes y proveedores de servicios, según su propia justificación institucional.",1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,"https://www.metbus.cl/noticias/noticia.html?id=1
 https://www.metbus.cl/noticias/noticia.html?id=1"
2.0,STP Santiago,Operador de transporte público,Operador privado de servicios de transporte público en Santiago.,Manejar de cerca,9.0,"Sumó 120 buses ecológicos al asumir cuatro recorridos de Alsacia, y opera 204 buses eléctricos Foton bajo estándar RED.",6.0,"Opera recorridos y flotas relevantes dentro de Red Movilidad, aunque su influencia es menor que la del Estado y los mayores operadores.",4.0,"Opera recorridos y flotas dentro de Red Movilidad, pero su justificación no incluye ninguna cifra propia de buses eléctricos incorporados ni fuente citada en el archivo.",6.0,"Participa en la operación de buses eléctricos y en la renovación tecnológica exigida por el sistema, pero su justificación no especifica una meta, plazo o porcentaje de electrificación propio, a diferencia de Metbus o Voy Santiago.",5.0,"Mantiene espacios de coordinación con autoridades, operadores y proveedores, según su propia justificación institucional.",1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,https://dtpm.cl/index.php/sitemap; https://es.wikipedia.org/wiki/STP_Santiago
3.0,Vule,Operador de transporte público,Empresa concesionaria de transporte público urbano de Santiago.,Manejar de cerca,9.0,"Opera flotas eléctricas; entre ellas, 30 buses equipados con sensores para peatones y ciclistas incorporados a sus servicios.",6.0,"Su volumen de operación genera demanda relevante de buses, mantenimiento, energía e infraestructura de terminales.",4.0,"Opera 30 buses equipados con sensores para peatones y ciclistas dentro de su flota eléctrica, una cifra concreta y verificable, aunque de menor escala que la de Metbus. ",8.0,"Participa activamente en el proceso de electrificación de flotas impulsado por Red Movilidad, aunque su justificación no declara una meta de electrificación total como sí lo hace Metbus con su 94%.",5.0,"Mantiene relación permanente con autoridades, fabricantes y otros operadores, según su propia justificación institucional.",1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,https://www.red.cl/red-comunica/presentan-primeros-30-buses-electricos-con-sensores-para-evitar-puntos-ciegos-en-450-mil-kilometros-no-han-tenido-siniestros-con-modos-vulnerables/
4.0,Voy Santiago,Operador de transporte público,Empresa operadora de unidades de servicio de Red Movilidad.,Manejar de cerca,10.0,"Incorporó 214 buses eléctricos y alcanzó el 100 % de su flota operativa con estándar RED; además, obtuvo dos unidades de la nueva licitación.",6.0,Administra servicios relevantes y obtuvo nuevas unidades dentro de una licitación que representa el 30 % del sistema.,4.0,"Incorporó 214 buses eléctricos y alcanzó el 100% de su flota operativa bajo el estándar RED, además de obtener nuevas unidades en la licitación más reciente del sistema",9.0,"Su crecimiento reciente y la obtención de nuevas concesiones en la licitación que representa el 30% del sistema evidencian una expansión activa y en curso, no solo una intención declarada.",5.0,"Mantiene coordinación constante con autoridades, proveedores y demás actores del sistema, según su propia justificación institucional.",1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,"https://www.hibridosyelectricos.com/autobuses/esta-gran-capital-va-sustituir-214-autobuses-diesel-por-electricos-puros_75749_102.html
 https://www.hibridosyelectricos.com/autobuses/esta-gran-capital-va-sustituir-214-autobuses-diesel-por-electricos-puros_75749_102.html"
5.0,Buses Huelén,Operador de transporte público,Empresa chilena dedicada a la operación de transporte de pasajeros.,Mantener informado,6.0,"Presenta vinculación con la renovación y electrificación de flotas, aunque la información pública disponible sobre proyectos propios es limitada.",4.0,"Su influencia se concentra en las flotas y contratos que administra, con menor escala y capacidad institucional que los grandes operadores metropolitanos.",,,,,,,1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,
6.0,Turbus,Operador de transporte público,Empresa chilena dedicada principalmente al transporte interurbano de pasajeros.,Hacer seguimiento,4.0,"En 2019 operó el primer bus eléctrico interurbano del país entre Santiago y Rancagua, aunque la electrificación continúa siendo marginal dentro de su flota.",4.0,"Su cobertura y posición en el transporte interurbano le permiten impulsar cambios en ese segmento, pero no determina el mercado nacional.",,,,,,,1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,https://mtt.gob.cl/debuta-el-primer-bus-electrico-interurbano-del-pais-con-un-servicio-entre-santiago-y-rancagua/
7.0,Codelco,Usuarios de flota y demanda de mercado,Empresa estatal y principal productora de cobre de Chile.,Manejar de cerca,7.0,"Opera alrededor de 250 buses eléctricos y ha probado equipos mineros eléctricos, aunque la electromovilidad no constituye su actividad principal.",8.0,"Su propiedad estatal, escala productiva y rol en cobre y litio le otorgan influencia determinante sobre la política minera y la demanda tecnológica nacional.",5.0,"Es una empresa estatal con una flota documentada de buses eléctricos operativa (65 buses en la División Radomiro Tomic), pero opera bajo el régimen minero general del cobre, no bajo el marco regulatorio especial que Chile aplica específicamente al litio para la cadena de electromovilidad. ",5.0,"Su propia justificación institucional es explícita: ""la electromovilidad no constituye su actividad principal"". La descarbonización de sus operaciones es relevante, pero no es el eje central de su negocio como sí lo es para SQM o Albemarle respecto al litio.",6.0,"Mantiene una estrecha coordinación con entidades públicas, proveedores tecnológicos, empresas energéticas y centros de investigación, según su propia justificación institucional.",6.0,Iniciativas institucionales concretas para fortalecer la participación de mujeres en minería.,"https://www.codelco.com/division-radomiro-tomic-de-codelco-inauguro-su-flota-de-65-buses-100
https://www.codelco.com/division-radomiro-tomic-de-codelco-inauguro-su-flota-de-65-buses-100"
8.0,SQM,Usuarios de flota y demanda de mercado,"Productora chilena de litio, yodo y otros productos químicos.",Manejar de cerca,8.0,El litio para baterías es una línea estratégica de su negocio y ha realizado inversiones para ampliar significativamente su capacidad productiva.,7.0,Es uno de los mayores productores mundiales de litio y cuenta en Chile con capacidad cercana a 210.000 toneladas anuales de carbonato de litio.,7.0,"Opera bajo uno de los regímenes fiscales más intervenidos de la minería chilena: un contrato de arriendo con CORFO con regalías progresivas de hasta el 40% del precio de venta, y es parte central de la Estrategia Nacional del Litio del Gobierno, que busca posicionar a Chile en la cadena de valor de baterías para electromovilidad y menciona explícitamente la instalación de fabricantes como BYD en el país.",9.0,"Además de que el litio para baterías es una línea estratégica de su negocio, enfrenta un plazo regulatorio concreto: a partir de 2030 el Estado chileno deberá tener participación mayoritaria en su explotación del Salar de Atacama, lo que genera una presión de tiempo real",7.0,"Mantiene vínculos permanentes con organismos públicos, empresas tecnológicas, centros de investigación y actores industriales, según su propia justificación institucional.",4.0,"Compromisos de diversidad corporativos, de carácter general.","https://ir.sqm.com/system/files-encrypted/nasdaq_kms/assets/2026/04/06/23-47-58/Memoria%20SQM%20S.A.%202025_%20VF.pdf
, https://www.redimin.cl/estrategia-nacional-del-litio/
 https://www.redimin.cl/estrategia-nacional-del-litio/"
9.0,Antofagasta Minerals,Usuarios de flota y demanda de mercado,Grupo minero chileno dedicado principalmente a la producción de cobre.,Mantener satisfecho,4.0,"Centinela incorporó 50 camionetas eléctricas y ocho equipos mineros eléctricos, pero las iniciativas se concentran principalmente en sus propias operaciones.",7.0,"Su escala productiva y capacidad financiera le permiten demandar, probar e incorporar nuevas tecnologías de transporte y maquinaria minera.",,,,,,,6.0,"Documentó en 2026, a través de la plataforma social de Consejo Minero, una iniciativa propia de equidad de género en sus operaciones — evidencia concreta pero de alcance más acotado que el de BHP, sin cifras de participación femenina publicadas.",https://intranet.aminerals.cl/Noticias/Detalle/2045
10.0,BHP Chile,Usuarios de flota y demanda de mercado,Compañía minera internacional operadora de Escondida y Spence.,Mantener satisfecho,5.0,"Escondida tiene aprobado un proyecto de US$250 millones para electrificar camiones mediante sistema de trolley (SEA, feb. 2025), y por separado un acuerdo con Caterpillar para reemplazar su flota completa de 160 camiones por eléctricos Cat 798 AC en 10 años.",7.0,"Opera activos de cobre de escala mundial y posee elevada capacidad financiera, tecnológica y de compra de equipos para influir en proveedores.",,,,,,,8.0,"Escondida se convirtió en la primera minera de Chile en alcanzar equilibrio de género: 46% de mujeres en su dotación total y 50% en cargos de liderazgo, meta que cumplió antes del plazo que se había fijado, el caso más sólido y medible de todo el sector minero chileno.",df.cl/empresas/mineria/descarbonizacion-sea-aprueba-proyecto-de-us-250-millones-de-escondida; equipo-minero.com
