#,Actor,Alcance,Categoria,Justificacion_Inclusion,Mendelow,Interes,Justificacion_Interes,Poder,Justificacion_Poder,Legitimidad,Justificacion_Legitimidad,Urgencia,Justificacion_Urgencia,Capacidad_Articulacion,Justificacion_Articulacion,Genero,Justificacion_Genero
1.0,Ministerio de Transporte,Colombia, Entidad gubernamental reguladora,"Entidad responsable de la regulación, habilitación y supervisión del sector transporte en Colombia. Su participación es fundamental para establecer requisitos de homologación, procesos de registro, lineamientos técnicos y condiciones de seguridad aplicables a vehículos sometidos a procesos de retrofit. Además, tiene la capacidad de incorporar este tipo de soluciones dentro de las estrategias nacionales de movilidad sostenible y modernización de flotas.",Manejar de cerca,10.0,"Es el principal actor decisor sobre la viabilidad regulatoria del retrofit en Colombia. Sin su aprobación en aspectos de homologación, seguridad, registro y operación vehicular, el mercado difícilmente podría desarrollarse.",10.0,"Es la autoridad nacional con capacidad para habilitar, restringir o definir las condiciones regulatorias del retrofit vehicular en Colombia. Sus decisiones pueden determinar la existencia misma del mercado a nivel país.",10.0,Máxima legitimidad institucional derivada de su mandato legal para regular y orientar el sector transporte a nivel nacional.,10.0,"La electrificación del transporte público se encuentra actualmente vinculada a procesos de cofinanciación nacional y expansión de flotas eléctricas urbanas, convirtiéndose en una agenda activa de alcance nacional.",6.0,"Es la autoridad nacional responsable de regular el sector transporte y posee capacidad para convocar actores cuando la agenda lo requiere. Sin embargo, su función principal es rectora y normativa, no la articulación permanente entre múltiples grupos de interés.",7.0,"Aunque no es una entidad especializada en género, tiene capacidad para incorporar requisitos de inclusión en regulación, contratación, estándares operativos, capacitación sectorial y políticas de movilidad. Su contribución puede ser significativa cuando existe voluntad institucional, pero generalmente depende del acompañamiento de actores especializados en género."
2.0,Ministerio de Minas y Energía,Colombia, Entidad gubernamental reguladora,"Entidad responsable de la política energética nacional y de la promoción de la movilidad eléctrica. Aunque actualmente no lidera un programa específico de retrofit vehicular, posee la capacidad regulatoria para establecer lineamientos técnicos, incentivos económicos, mecanismos de certificación y esquemas de financiamiento que habiliten la reconversión de vehículos convencionales a tecnologías eléctricas. Además, coordina acciones con UPME, FENOGE, MinTransporte y autoridades territoriales para la transición energética del sector transporte.",Manejar de cerca,8.0,"Aunque el retrofit no es su foco principal, puede utilizarlo como herramienta para acelerar la electrificación del transporte y cumplir objetivos de transición energética, eficiencia energética y descarbonización.",8.0,"Puede impulsar incentivos, programas de electrificación, mecanismos de financiamiento y lineamientos de transición energética que favorezcan el retrofit, aunque no controla directamente la regulación vehicular.",10.0,"Autoridad nacional responsable de la política energética y la transición energética, con reconocimiento formal para orientar decisiones sectoriales.",9.0,"La transición energética y la electrificación del transporte continúan siendo prioridades activas dentro de la política energética colombiana, con participación directa en iniciativas relacionadas con movilidad eléctrica.",6.0,"Puede coordinar actores del sector energético, organismos de cooperación y entidades públicas en iniciativas de transición energética, aunque su rol principal es de formulación de política y no de articulación multisectorial continua.",8.0,"La transición energética justa es actualmente una agenda transversal en numerosos países y organismos internacionales. El ministerio puede incorporar objetivos de participación femenina, formación técnica, empleo y liderazgo de mujeres dentro de programas de electrificación, eficiencia energética y reconversión tecnológica."
3.0,Ministerio de Ambiente y Desarrollo Sostenible,Colombia, Entidad gubernamental reguladora,"Entidad responsable de liderar las políticas nacionales de cambio climático, calidad del aire y reducción de emisiones contaminantes. Su participación es relevante debido al potencial del retrofit para contribuir a los compromisos de descarbonización del transporte, mejorar la calidad ambiental urbana y apoyar el cumplimiento de metas nacionales de mitigación de gases de efecto invernadero.",Mantener satisfecho,6.0,"Reconoce los beneficios ambientales asociados a la reducción de emisiones, pero el retrofit constituye solo una de múltiples alternativas disponibles para alcanzar sus objetivos de calidad del aire y cambio climático.",7.0,"Tiene capacidad para influir en políticas ambientales, estándares de emisiones y estrategias de descarbonización que pueden favorecer el retrofit, aunque depende de otras entidades para su implementación.",,,,,,,7.0,"Los enfoques de sostenibilidad, justicia climática e inclusión social suelen incorporar progresivamente componentes de género. Puede promover que los beneficios ambientales y económicos de la transición tecnológica alcancen de manera equitativa a mujeres y grupos vulnerables."
4.0,Departamento Nacional de Planeación (DNP),Colombia, Entidad gubernamental de política y planificación,"Entidad encargada de coordinar la planificación estratégica y la formulación de políticas públicas de largo plazo en Colombia. Puede promover la incorporación del retrofit vehicular dentro de instrumentos de política nacional, estrategias de movilidad sostenible, transición energética y desarrollo productivo, además de facilitar la articulación interinstitucional y la identificación de fuentes de financiamiento.",Mantener satisfecho,7.0,"Tiene interés en herramientas que contribuyan a la transición energética y al desarrollo sostenible, aunque el retrofit compite con muchas otras prioridades dentro de la agenda nacional de política pública.",8.0,"Puede incorporar el retrofit en políticas nacionales, documentos CONPES, programas de inversión y agendas gubernamentales prioritarias, facilitando la movilización de recursos y la coordinación interinstitucional.",,,,,,,9.0,"Es una de las entidades con mayor capacidad para transversalizar enfoques de género dentro de políticas públicas, instrumentos de planeación, documentos CONPES y metodologías de evaluación. Su influencia puede extenderse a múltiples sectores simultáneamente."
5.0,UPME,Colombia, Entidad gubernamental de política y planificación,"Entidad responsable de la planeación energética nacional y el análisis de escenarios de transición energética. Su participación es importante para evaluar los impactos del retrofit sobre la demanda energética, identificar oportunidades de electrificación de flotas y generar información técnica que apoye la formulación de políticas y programas para la reconversión vehicular.",Mantener satisfecho,6.0,"El retrofit puede afectar la planificación energética y la electrificación de la demanda, pero representa solo uno de numerosos temas dentro de sus responsabilidades de planeación sectorial.",7.0,"Posee una elevada capacidad técnica para influir en decisiones de política pública relacionadas con electrificación del transporte y planificación energética, aunque carece de facultades regulatorias directas.",,,,,,,6.0,"Aunque tradicionalmente ha tenido un enfoque técnico y energético, posee capacidad para incluir variables de género en estudios de demanda, planeación energética, formación de talento y escenarios de transición energética justa."
6.0,FENOGE,Colombia, Entidad gubernamental de política y planificación,"Entidad especializada en la financiación y promoción de proyectos de eficiencia energética y energías limpias. Puede desempeñar un papel clave en el diseño y estructuración de incentivos, mecanismos de financiamiento y programas piloto que faciliten la adopción de tecnologías retrofit y la electrificación de buses urbanos.",Mantener satisfecho,8.0,"La reconversión de flotas puede alinearse directamente con sus objetivos de promover eficiencia energética y tecnologías limpias, además de constituir una posible línea de financiación futura.",7.0,"Puede movilizar recursos financieros y estructurar mecanismos de apoyo económico para proyectos de retrofit, contribuyendo significativamente a su viabilidad financiera.",,,,,,,8.0,"Los programas de eficiencia energética y transición energética que financia pueden incorporar criterios de inclusión, participación femenina y fortalecimiento de capacidades para grupos históricamente subrepresentados."
7.0,Agencia Nacional de Seguridad Vial (ANSV),Colombia, Entidad gubernamental reguladora,"Entidad responsable de formular y coordinar acciones orientadas a mejorar la seguridad vial en Colombia. Su participación es fundamental para asegurar que los procesos de retrofit cumplan requisitos de seguridad vehicular, reduzcan riesgos operativos y mantengan las condiciones técnicas necesarias para la circulación segura de los vehículos reconvertidos.",Mantener satisfecho,6.0,"Su interés se concentra principalmente en garantizar que las conversiones no afecten los estándares de seguridad vial. El retrofit es relevante, pero no constituye una prioridad central de su misión institucional.",7.0,Tiene influencia relevante sobre los requisitos de seguridad aplicables a vehículos reconvertidos y puede condicionar aspectos críticos para la implementación de programas de retrofit.,,,,,,,6.0,"Puede contribuir mediante campañas, programas de formación y generación de evidencia sobre brechas de género en movilidad y seguridad vial. Sin embargo, su alcance es más limitado que el de organismos de planeación o política pública."
8.0,RUNT,Colombia, Entidad gubernamental reguladora,"Sistema nacional encargado de administrar la información asociada al registro automotor y otros servicios relacionados con el transporte. Su participación es necesaria para evaluar los ajustes regulatorios y operativos que permitan registrar, identificar y hacer seguimiento a los vehículos que sean objeto de procesos de retrofit o reconversión tecnológica.",Hacer seguimiento,4.0,"Su participación es principalmente operativa y de soporte, relacionada con la identificación, trazabilidad y registro de vehículos reconvertidos una vez existan definiciones regulatorias por parte de otras entidades.",6.0,"Controla procesos esenciales de registro, identificación y trazabilidad vehicular. Aunque no define la política pública, resulta indispensable para la implementación operativa del retrofit.",,,,,,,2.0,"Su función principal es operativa y registral. Podría aportar información estadística para análisis de género, pero tiene una capacidad muy limitada para impulsar políticas inclusivas por sí mismo."
9.0,"Secretaría de Infraestructura, Comunicaciones y Transportes (SICT)",México, Entidad gubernamental reguladora,"Entidad responsable de la política, regulación y supervisión del transporte federal en México. Su participación es clave para definir condiciones regulatorias, criterios de homologación y mecanismos de implementación que permitan desarrollar programas de retrofit vehicular en flotas de transporte público y de carga dentro del país.",Manejar de cerca,10.0,"Como autoridad nacional del transporte en México, tiene capacidad decisoria sobre la regulación y eventual implementación de programas de retrofit aplicados a flotas de transporte público y carga.",10.0,"Es la autoridad nacional responsable del transporte en México y posee capacidad regulatoria directa para habilitar, restringir o definir las condiciones bajo las cuales podría operar el retrofit vehicular.",10.0,Entidad federal con mandato legal para definir y regular las políticas de transporte en México.,9.0,"México mantiene una agenda activa de movilidad sostenible y electrificación del transporte, dentro de la cual la entidad desempeña un rol relevante de coordinación sectorial. ",6.0,"Como autoridad federal de transporte en México puede convocar y coordinar actores relevantes, pero su función principal está orientada a regulación y gestión sectorial.",8.0,"Como autoridad nacional de transporte en México, tiene capacidad para incorporar criterios de inclusión, participación femenina y accesibilidad dentro de programas de transporte y modernización tecnológica del sector."
10.0,Secretaría de Energía (SENER),México, Entidad gubernamental reguladora,"Entidad encargada de formular la política energética nacional de México y promover la transición hacia tecnologías más limpias y eficientes. Puede contribuir al desarrollo del retrofit mediante la definición de estrategias de electrificación del transporte, coordinación con el sector energético y diseño de instrumentos que faciliten la adopción de tecnologías de bajas emisiones.",Manejar de cerca,8.0,La electrificación del transporte forma parte de su agenda estratégica y el retrofit puede funcionar como un mecanismo complementario para acelerar la transición energética en determinados segmentos vehiculares.,8.0,"Puede impulsar programas de electrificación, incentivos energéticos y lineamientos de transición energética que favorezcan el desarrollo del retrofit, aunque no controla directamente la regulación del transporte.",10.0,Autoridad nacional mexicana con competencia formal para dirigir la política energética y las estrategias de electrificación.,9.0,La electrificación de la demanda y la movilidad eléctrica continúan siendo temas estratégicos dentro de la transición energética mexicana. ,6.0,"Tiene capacidad para reunir actores del ecosistema energético y de movilidad eléctrica, aunque la articulación no constituye su función institucional principal.",8.0,"La transición energética mexicana ofrece oportunidades para promover empleo femenino, formación técnica y participación de mujeres en nuevos mercados tecnológicos. La entidad dispone de capacidad institucional para incorporar estos enfoques en programas sectoriales."
