#,Actor,Categoria,Justificacion_Inclusion,Mendelow,Interes,Justificacion_Interes,Poder,Justificacion_Poder,Legitimidad,Justificacion_Legitimidad,Urgencia,Justificacion_Urgencia,Capacidad_Articulacion,Justificacion_Articulacion,Genero,Justificacion_Genero,Observaciones
1.0,Ministerio de Minas y Energía,Entidad gubernamental de política y planificación,Entidad nacional responsable de la política energética y de las reglas aplicables a la infraestructura de carga.,Manejar de cerca,10.0,"En 2025 impulsó la interoperabilidad obligatoria, la exención del 20 % de la contribución sobre la energía de carga y nuevos incentivos tributarios.",10.0,"Define estándares, incentivos, interoperabilidad y condiciones de mercado que afectan directamente a todas las estaciones públicas.",10.0,"Es el único actor del bloque que ya emitió normativa concreta y vigente sobre infraestructura de carga (interoperabilidad obligatoria y exención del 20% de la contribución, 2025), lo que le da una legitimidad superior a la de cualquier otra entidad regulatoria del grupo, cuyas acciones son más generales o de apoyo.",10.0,"Tiene una meta cuantificada con plazo fijo específicamente sobre infraestructura de carga: pasar de 401 cargadores (2025) a 20.000 puntos de carga necesarios en 2030, con una brecha de inversión de USD 255-390 millones por cerrar en pocos años.",5.0,"Coordina de forma directa y permanente a UPME, CREG, empresas energéticas y el sector privado — es el nodo central del bloque, mientras que las demás entidades se articulan a través de él, no al mismo nivel.",4.0,"Mantiene lineamientos generales de política pública con enfoque de género (como los demás ministerios), pero no es un eje diferenciador de su gestión en electromovilidad, por lo que no destaca frente al resto del bloque.","https://gestornormativo.creg.gov.co/gestor/entorno/docs/resolucion_minminas_40123_2024.htm
https://www.minenergia.gov.co/es/sala-de-prensa/noticias-index/colombia-da-un-paso-historico-hacia-la-movilidad-electrica-todas-las-estaciones-de-carga-deberan-ser-interoperables/"
2.0,UPME,Entidad gubernamental de política y planificación,Unidad técnica encargada de la planeación energética y de la gestión de incentivos para eficiencia energética.,Manejar de cerca,10.0,En 2026 publicó lineamientos para integrar la información nacional de estaciones bajo un estándar común.,9.0,"Sus estudios orientan la expansión de redes y los requerimientos de carga; además, certifica proyectos que buscan beneficios tributarios.",8.0,"Su legitimidad es específicamente alta en el eje de conectividad de este proyecto porque es la entidad que técnicamente planifica y estandariza la red nacional de estaciones, aunque un escalón por debajo del Ministerio de Minas y Energía por no tener poder regulatorio/sancionatorio propio.",9.0,"Publicó en 2026 lineamientos activos para unificar la información nacional de estaciones, una acción reciente y directamente ligada a la expansión de la red",8.0," Se articula con entidades públicas y empresas, pero su función es principalmente técnica/analítica, no de coordinación ejecutiva multisectorial como el Ministerio de Minas y Energía o el Ministerio de Transporte, de ahí el puntaje menor.",1.0,"No se identifica ningún componente de género en su gestión técnica, siendo el más bajo del bloque junto con Entidades Nacionales de Apoyo Regulatorio e ICONTEC",https://www.upme.gov.co/upme_noticias/upme-infraestructura-carga-vehiculos-electricos-colombia/
3.0,Ministerio de Transporte,Entidad gubernamental de política y planificación,Entidad nacional que formula la política de transporte y coordina la transición hacia vehículos de cero emisiones.,Manejar de cerca,8.0,"Lidera FOPAT (Fondo para la Promoción del Ascenso Tecnológico), con una línea de crédito de $14.800 millones junto a Bancóldex y FNG para reemplazar taxis de combustión por eléctricos, y un decreto de reposición de flotas de carga vigente desde septiembre de 2025. Fuente: mintransporte.gov.co, marzo 2026.",10.0,"Puede condicionar la demanda futura de infraestructura mediante políticas de flotas públicas, taxis, buses y transporte de carga.",9.0,"Tiene el mismo rango institucional que el Ministerio de Minas y Energía, pero su mandato central recae sobre flotas y vehículos, no sobre la infraestructura de carga que es el eje de este proyecto en Colombia.",7.0,"Su urgencia es real pero derivada, no propia sobre el eje de conectividad: sus metas de electrificación de flotas (buses, taxis) necesitan que exista infraestructura de carga para cumplirse, pero construir y planificar esa infraestructura es responsabilidad directa del Ministerio de Minas y Energía y de UPME, no del Ministerio de Transporte.",6.0,"Coordina con autoridades territoriales, operadores y empresas privadas a una escala amplia, cercana a la del Ministerio de Minas y Energía.",4.0,"Incorpora criterios de inclusión en sus políticas de movilidad, un poco por encima del promedio del bloque pero sin ser un eje central.",
4.0,Superintendencia de Servicios Públicos Domiciliarios,Entidad gubernamental reguladora,Entidad de vigilancia y control de los prestadores de servicios públicos domiciliarios.,Hacer seguimiento,4.0,Ha emitido conceptos para delimitar las responsabilidades de las empresas de energía frente al servicio de carga.,5.0,"Mediante el Concepto 100 de 2025, la propia entidad determinó que el servicio de carga de vehículos eléctricos NO es un servicio público domiciliario y por tanto queda fuera de su competencia regulatoria directa.",,,,,,,1.0,Sin mención de política de género en su descripción institucional.,gestornormativo.creg.gov.co/gestor/entorno/docs/concepto_superservicios_0000100_2025.htm
5.0,Ministerio de Ambiente y Desarrollo Sostenible,Entidad gubernamental de política y planificación,"Entidad responsable de la política ambiental, climática y de calidad del aire.",Manejar de cerca,7.0,"Es autor de la Estrategia Nacional de Movilidad Eléctrica (ENME), que fija la meta de mitigar el 20% de gases de efecto invernadero para 2030, dado que el sector transporte aporta cerca del 29% de las emisiones del país.",7.0,Sus metas de reducción de emisiones y gestión eficiente de la energía respaldan incentivos para infraestructura de carga.,7.0,"Es legítimo dentro de su función ambiental, pero la electromovilidad es una herramienta entre varias dentro de su agenda de descarbonización y calidad del aire",6.0,Su participación es relevante pero no urgente en el sentido de acción inmediata sobre infraestructura; su rol es más de meta climática de largo plazo que de ejecución de red de carga.,6.0,"Articula políticas ambientales con otras entidades, pero de forma más sectorial y menos centralizadora que los ministerios.",4.0,"Nivel similar al Ministerio de Transporte, sin evidencia de un componente diferenciador fuerte.",minambiente.gov.co
6.0,ICONTEC,"Normalización, certificación y acreditación",Organismo nacional de normalización y certificación técnica.,Manejar de cerca,7.0,"La expansión de cargadores aumenta la necesidad de normas técnicas nacionales alineadas con estándares IEC, ISO y OCPP.",6.0,"Ha publicado un paquete de normas técnicas específicas para movilidad eléctrica: sistemas de carga conductiva, estaciones de carga en corriente continua, y especificaciones de seguridad para vehículos eléctricos (almacenamiento de energía, seguridad operativa, seguridad post-choque).",5.0,"Es un organismo técnico de normalización y certificación, no de política pública ni poder regulatorio,  su legitimidad es la más baja del bloque porque su rol es habilitador (estándares), no decisorio.",5.0,"La necesidad de normas técnicas crece con la expansión de cargadores, pero es una urgencia derivada de las decisiones de otros actores, no propia.",7.0,"Mantiene interacción constante con entidades públicas, empresas y fabricantes para la construcción de normas, lo que le da un puntaje algo mayor que a Entidades Nacionales de Apoyo Regulatorio",1.0,Sin evidencia de enfoque de género en su función de normalización.,icontec.org/normas-movilidad-electrica
7.0,Entidades Nacionales de Apoyo Regulatorio,Entidad gubernamental reguladora,"Conjunto de entidades que complementan el marco de desarrollo de la infraestructura de carga mediante regulación ambiental, instrumentos tributarios y disposiciones técnicas para el sector energético.",Manejar de cerca,6.0,"La contribución del 20% eximida y el mecanismo de conexión que desarrolla CREG representan un interés económico directo y medible para estas entidades, no solo un objetivo transversal de descarbonización.",8.0,"DIAN resuelve los beneficios tributarios (IVA especial, depreciación acelerada) y CREG desarrolla el mecanismo simplificado de conexión de estaciones a la red, por mandato del Ministerio de Minas y Energía (oct. 2025).",7.0,"Son autoridades con poder legal nombrable y específico — DIAN sobre beneficios tributarios (IVA, depreciación acelerada) y CREG sobre condiciones técnicas de conexión a red. Queda por debajo de MME, Transporte y UPME porque ninguna lidera la política, pero por encima de Ministerio de Ambiente porque sus instrumentos (impuestos y conexión a red) son más determinantes para la viabilidad de el proyecto.",4.0,La CREG ya tiene un mandato activo y con mesas de trabajo en curso (2026) para desarrollar el mecanismo de conexión.,8.0,"CREG se articula directamente con operadores privados (Terpel, Vanti) y con MME; DIAN se articula con Hacienda y las empresas que aplican beneficios.",1.0,Sin evidencia de un componente diferenciador en ninguna de las dos entidades.,
8.0,Enel Colombia,Empresa de energía e infraestructura de carga,Grupo energético y operador de distribución eléctrica en Bogotá y Cundinamarca.,Manejar de cerca,9.0,"El plan SITP contempla 22 patios de recarga y una flota de 4.109 buses eléctricos; Enel X (su unidad) ya entregó 6 de esos patios, con 13 más en estructuración para 2.630 buses adicionales, dentro del plan ""Bogotá Región 2030"" de 30 nuevas subestaciones.",8.0,Controla conexiones y capacidad de red en el principal mercado de vehículos eléctricos del país y cuenta con elevada capacidad financiera.,4.0,"Ha desarrollado electroterminales y soluciones de carga que sostienen la operación de cientos de buses eléctricos, pero su justificación no incluye una cifra propia verificable ni una fuente citada en el archivo.",7.0,"Su papel es descrito como clave en el despliegue de electromovilidad, pero el texto lo enmarca dentro de su rol energético general, sin una meta cuantificada propia ni una declaración explícita de la electromovilidad como prioridad estratégica de crecimiento.",5.0,"Su interacción alcanza entidades públicas, operadores de transporte, empresas y organismos internacionales, propio de pertenecer a un grupo energético global.",4.0,"Cuenta con políticas corporativas consolidadas de diversidad e inclusión, de carácter general y no específicamente dirigidas a la participación de mujeres en energía o electromovilidad.","enel.com.co
https://www.enelamericas.com/en/stories/a202411-bogota-moves-towards-electric-mobility.html"
9.0,EPM,Empresa de energía e infraestructura de carga,Empresa pública de energía y servicios con operación principal en Antioquia.,Manejar de cerca,9.0,En junio de 2025 reportó 23 estaciones públicas propias en Antioquia y 15 adicionales dentro del Grupo EPM.,8.0,"Su red, capacidad financiera y presencia regional le permiten habilitar conexiones y desplegar infraestructura pública.",6.0,"Reportó en junio de 2025 un total de 38 estaciones públicas de carga (23 propias en Antioquia más 15 del Grupo EPM), una cifra concreta, medible y con fuente propia citada en el archivo — es evidencia directa de infraestructura ya construida y operando, no una proyección.",7.0,"El crecimiento de la electromovilidad en su zona de operación exige expansión continua de patios y puntos de carga, y EPM ya lo está ejecutando activamente. No llega al nivel máximo porque la electromovilidad es una de varias líneas dentro de un portafolio energético mucho más amplio (energía, agua, gas, telecomunicaciones).",6.0,"Coordina autoridades, empresas y operadores del ecosistema a escala relevante, aunque su despliegue está concentrado regionalmente (Antioquia).",8.0,"Cuenta con programas institucionales explícitos de fortalecimiento del talento femenino (no solo una política genérica de diversidad), lo que evidencia un compromiso concreto y nombrado en esta dimensión.",https://www.epm.com.co/institucional/sala-de-prensa/noticias-y-novedades/epm-inaugura-estacion-carga-electrica-en-uraba
10.0,Celsia,Empresa de energía e infraestructura de carga,Empresa de energía y soluciones de movilidad eléctrica con presencia en varias regiones.,Manejar de cerca,9.0,"En 2024 reportó 22 estaciones públicas, más de 5.000 cargadores instalados y más de 50 puntos para buses y carga pesada.",7.0,"Integra suministro, instalación de cargadores y soluciones para hogares, empresas y flotas.",4.0,"En 2024 reportó 22 estaciones públicas, más de 5.000 cargadores instalados y más de 50 puntos para buses y carga pesada — cifras concretas, con fuente propia, que demuestran ejecución real y a gran escala.",9.0,"Su propia justificación institucional declara explícitamente que la electromovilidad ""constituye una línea estratégica de crecimiento"" para la empresa, no es un proyecto secundario ni de responsabilidad corporativa, sino un objetivo de negocio nombrado como tal.",5.0,"Mantiene relación permanente con gobiernos locales, operadores de transporte y proveedores tecnológicos para desplegar y sostener su red de cargadores, una coordinación real y activa, aunque circunscrita al ámbito municipal/local",1.0,"No hay ninguna mención de política de género, diversidad o inclusión en su justificación institucional.",https://www.celsia.com/es/cargador-celsia-para-vehiculos-electricos-e-hibridos/
